SKU,Description,Price,UOM,Family,Product,Type,Item,Dielectric,Noise Reduction Rating NRR,Radio Band Type,Ear Muff Style,Ear Muff Cup Color,Series,Features,Standards,For Use With,Disposable/ Reusable,Insertion Method,Metal Detectable,Ear Plug Color,Ear Plug Material,Ear Plug Shape,Ear Plug Size,Cord Options,Band Color - Hearing Protection,Cord Color,Cord Material - Hearing Protection,Pairs Per Package,Ear Plug Packaging,Ear Plug Pair Pack Type,Band Material - Hearing Protection,Material - Ear Plug Dispensers,Height - Ear Plug Dispensers,Width - Ear Plug Dispensers,Depth - Ear Plug Dispensers,Mounting Style - Ear Plug Dispensers,Dispenser Lid Style,Includes,Capacity - Pairs of Ear Plugs,Green Environmental Attribute,Ear Muff Cushion Material,Ear Muff Type,Compatible Earmuff,Compatible Mfg. Model Number,Replacement Pad Grainger Part Number,Weight,Mounting Hole Center to Center,Number of Mounting Holes,Battery Type,Auxiliary Input,Compatible Dispensing System,Compatible Grainger Part Number,Compatible Banded Earplug,Headset Style,In Ear / On Ear / Over Ear LOV,One Ear / Two Ear,Volume Control,Push To Talk,Noise Canceling,Color,Batteries Included,Battery Size,Number of Batteries,Wired Connection Type,Connection Type - Head Protection,Cable Style,Frequency Range,System Requirements,Green Certification or Other Recognition,Ear Muff Cup Material
11C308,"Hard Hat Mounted Electronic Ear Muffs,  23dB Noise Reduction Rating NRR,  Dielectric No,  Red",$292.31 ,/ each,safety,hearing-protection,"headsets-for-communication"">Headsets",Electronic Ear Muffs,No,23dB,No Radio Band,Hard Hat Mounted,Red,SMARTMUFF,"Intrinsically Safe, SENS Technology, Face to Face, Two Way, Bluetooth, Cell Phone, Short Range Communication","CSA CLASS I, Division 1, Group C,D, T3C, Zone 1. ANSI S3.19. EN352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11K804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11K807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11W026,"Ear Muffs, Hard Hat Mounted, NRR 24dB",$59.56 ,/ each,safety,hearing-protection,"earmuffs"">Earmuffs<",Ear Muffs,No,24dB,,Hard Hat Mounted,Orange,"M-100, M-300",,ANSI S3.19-1974,M-100 and M-300 Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14J695,"Ear Plugs, Corded, Bullet, 32dB, PK200",$147.20 ,/ pkg. of 200,safety,hearing-protection,"ear-plugs-metal-detectable"">Ear",Ear Plugs,,32dB,,,,E-A-Rsoft(TM) SuperFit(TM),,ANSI S3.19-1974,,Reusable,Roll-Down,Yes,Yellow,Foam,Bullet,M,Corded,Blue,Blue,Vinyl,200,Bulk Box,Plastic Bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14L954,"Flanged Ear Plugs,  25dB Noise Reduction Rating NRR,  Corded,  Universal,  Blue,  PK 200",$349.63 ,/ pkg. of 200,safety,hearing-protection,"ear-plugs-metal-detectable"">Ear",Ear Plugs,,25dB,,,,E-A-R(TM) Ultrafit(TM),,ANSI S3.19-1974,,Reusable,Push-In,Yes,Blue,Soft Plastic,Flanged,Universal,Corded,Blue,Blue,Metal,200,"Bulk Bag, Unwrapped",Plastic Bag,Metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15X382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15Y770,Ear Plug Dispenser,$42.27 ,/ each,safety,hearing-protection,"earplug-dispensers-and-refills"">Earplug",Ear Plug Dispenser,,,,,,,,,Universal,,,,,,,,,,,,,,,,Acrylic,"3""","9""","6""","Table Top, Wall",Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15Y771,Ear Plug Dispenser,$60.30 ,/ each,safety,hearing-protection,"earplug-dispensers-and-refills"">Earplug",Ear Plug Dispenser,,,,,,,,,Universal,,,,,,,,,,,,,,,,Acrylic,"3""","9""","6""","Table Top, Wall",Hinged Lid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15Y772,Ear Plug Dispenser,$45.36 ,/ each,safety,hearing-protection,"earplug-dispensers-and-refills"">Earplug",Ear Plug Dispenser,,,,,,,,,Universal,,,,,,,,,,,,,,,,Acrylic,"3""","9""","6""","Table Top, Wall",Open,Legent:  Hearing Protection (w/Picto),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
